location,date,avg,median,high,low,std,obs
PEPCO,2020-09-15,21.467540208333332,21.548671,32.523304,12.703792,5.598734985285944,24
PEPCO,2020-09-16,21.34079375,21.129298,35.917175,11.65179,6.632634801089175,24
PEPCO,2020-09-17,19.725020333333333,20.2862985,25.717835,13.469809,3.5642067842410095,24
PEPCO,2020-09-18,18.312575708333334,19.608691,21.713315,12.357106,2.9175715334074837,24
PEPCO,2020-09-19,18.225406333333336,19.050942,20.932983,14.310788,2.4317132784930773,24
PEPCO,2020-09-20,15.894618541666667,16.3660105,20.770669,11.724561,2.7833312932227825,24
PEPCO,2020-09-21,17.217837291666665,19.0435985,23.317852,10.112907,4.169490524083014,24
PEPCO,2020-09-22,17.775631375,19.721639,23.692438,10.518217,4.255391089967966,24
PEPCO,2020-09-23,20.99137358333333,22.804988,32.208532,9.535957,6.745663584907005,24
PEPCO,2020-09-24,20.025693999999998,21.125236,27.325638,10.036911,5.988532033403613,24
PEPCO,2020-09-25,20.122136791666666,20.7553415,26.258282,11.612595,5.079997941319506,24
PEPCO,2020-09-26,19.468634458333334,18.792431,28.681487,12.09987,5.326852537764955,24
PEPCO,2020-09-27,18.43936725,17.9682065,29.544324,9.698064,6.594515079596778,24
PEPCO,2020-09-28,21.327472458333332,21.814309,28.798124,12.17843,5.478945088578523,24
PEPCO,2020-09-29,20.642342958333334,22.878283500000002,26.340207,13.44368,4.184716036167709,24
PEPCO,2020-09-30,18.2811345,19.2548235,23.008856,12.880661,3.0492927572397894,24
PEPCO,2020-10-01,19.169175541666664,20.621646,30.980325,12.03489,4.863986923701432,24
PEPCO,2020-10-02,20.630350458333332,23.0570275,25.597821,13.4049,4.042143627786601,24
PEPCO,2020-10-03,19.31674620833333,19.485836499999998,25.411134,14.940874,3.046760204396853,24
PEPCO,2020-10-04,17.710274958333333,17.632327,28.121196,12.866014,3.5980507025320074,24
PEPCO,2020-10-05,22.92151216666667,23.946875,32.019152,14.421028,5.312449238169951,24
PEPCO,2020-10-06,20.128372458333335,21.624988000000002,31.442667,10.484011,5.692425241461827,24
PEPCO,2020-10-07,22.384716166666667,22.057259000000002,39.51044,10.830043,8.153919574305565,24
PEPCO,2020-10-08,23.895320958333333,24.76452,38.283958,13.848727,6.051999623166168,24
PEPCO,2020-10-09,21.427909749999998,22.8705595,27.169282,13.754951,4.517706313203331,24
PEPCO,2020-10-10,19.962920291666666,19.206464500000003,30.705964,10.965048,6.416327273723439,24
PEPCO,2020-10-11,20.752888916666667,20.6455535,34.296576,12.711928,6.121730839049476,24
PEPCO,2020-10-12,22.687686791666668,24.200681000000003,39.69709,11.373234,6.998008944512336,24
PEPCO,2020-10-13,22.65438,24.491884499999998,38.387685,13.128232,6.197920569309558,24
PEPCO,2020-10-14,24.029896124999997,25.3640555,35.048251,15.976048,5.245980748826745,24
PEPCO,2020-10-15,24.700592708333332,24.8431745,43.377836,14.779442,6.970167957357864,24
PEPCO,2020-10-16,27.40383304166667,27.425773,40.490765,18.278993,6.0663427616209935,24
PEPCO,2020-10-17,24.366954500000002,22.94333,34.169449,19.762859,4.205762042888429,24
PEPCO,2020-10-18,20.761863666666667,20.229865,32.251272,15.549616,4.161280966608987,24
PEPCO,2020-10-19,29.969821874999997,30.426657499999997,42.058563,18.609208,8.30671432860597,24
PEPCO,2020-10-20,26.839338666666666,27.920921999999997,38.700617,16.642342,6.498164851964611,24
PEPCO,2020-10-21,29.332323541666668,31.848335,44.862789,15.283447,9.551778543504623,24
